Customer ID,Age,Tenure (Months),Monthly Spend ($),Weekly Usage (Hrs),Support Tickets,Satisfaction (1-5),Churn Probability,Confidence Lower,Confidence Upper,Will Cancel,Risk Category,Recommended Offer,Action Description
44,21,25,242.16,5.3,7,5,0.08%,0.0%,0.65%,0,Low,No Action Required,Customer behavior shows stable engagement.
45,42,19,325.68,12.8,3,3,0.02%,0.0%,0.3%,0,Low,No Action Required,Customer behavior shows stable engagement.
46,31,37,548.33,3.0,7,6,99.89%,99.25%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
47,26,5,983.82,6.2,5,7,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
48,43,20,1268.23,4.0,1,5,0.09%,0.0%,0.68%,0,Low,No Action Required,Customer behavior shows stable engagement.
49,19,23,508.06,9.1,0,3,99.97%,99.66%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
50,37,15,431.27,9.4,9,6,0.05%,0.0%,0.49%,0,Low,No Action Required,Customer behavior shows stable engagement.
51,45,9,423.76,7.6,8,10,99.97%,99.63%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
52,64,7,519.95,4.4,7,1,99.86%,99.14%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
53,24,37,315.62,5.2,0,8,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
54,61,3,818.68,10.7,3,6,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
55,25,24,241.3,7.8,1,3,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
56,64,21,750.35,6.6,1,10,0.01%,0.0%,0.25%,0,Low,No Action Required,Customer behavior shows stable engagement.
57,52,30,314.55,5.9,6,6,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
58,31,18,551.83,7.6,9,10,0.03%,0.0%,0.34%,0,Low,No Action Required,Customer behavior shows stable engagement.
59,34,16,419.78,9.7,4,7,0.01%,0.0%,0.23%,0,Low,No Action Required,Customer behavior shows stable engagement.
60,53,45,568.36,7.3,1,2,0.03%,0.0%,0.34%,0,Low,No Action Required,Customer behavior shows stable engagement.
61,57,17,999.5,9.3,0,6,0.01%,0.0%,0.24%,0,Low,No Action Required,Customer behavior shows stable engagement.
62,21,27,1308.94,3.3,0,6,0.09%,0.0%,0.69%,0,Low,No Action Required,Customer behavior shows stable engagement.
63,19,44,384.69,11.4,3,5,0.01%,0.0%,0.25%,0,Low,No Action Required,Customer behavior shows stable engagement.
64,23,10,516.59,7.9,3,7,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
65,59,20,1284.85,5.1,1,2,0.05%,0.0%,0.49%,0,Low,No Action Required,Customer behavior shows stable engagement.
66,21,47,19.58,9.3,1,6,0.01%,0.0%,0.24%,0,Low,No Action Required,Customer behavior shows stable engagement.
67,46,21,270.8,8.5,3,8,0.01%,0.0%,0.23%,0,Low,No Action Required,Customer behavior shows stable engagement.
68,35,15,453.23,4.6,7,6,99.88%,99.21%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
69,43,11,261.93,7.6,5,4,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
70,61,10,888.91,6.4,0,6,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
71,51,14,1391.59,4.2,7,5,99.85%,99.08%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
72,27,45,892.11,6.7,4,2,0.02%,0.0%,0.33%,0,Low,No Action Required,Customer behavior shows stable engagement.
73,53,9,594.83,4.9,9,1,99.83%,99.03%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
74,31,45,370.65,4.3,5,9,0.07%,0.0%,0.58%,0,Low,No Action Required,Customer behavior shows stable engagement.
75,48,46,183.47,9.5,6,2,99.98%,99.7%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
76,65,30,621.17,8.9,9,8,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
77,32,15,657.58,7.2,5,3,0.05%,0.0%,0.47%,0,Low,No Action Required,Customer behavior shows stable engagement.
78,25,17,669.49,1.3,2,4,99.89%,99.25%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
79,31,32,813.31,7.8,9,4,99.96%,99.6%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
80,40,33,349.91,10.3,1,6,0.01%,0.0%,0.24%,0,Low,No Action Required,Customer behavior shows stable engagement.
81,57,16,353.71,11.6,1,1,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
82,38,19,383.79,11.1,2,5,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
83,33,2,689.91,4.4,5,5,99.93%,99.43%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
84,62,4,445.9,5.7,0,1,0.02%,0.0%,0.33%,0,Low,No Action Required,Customer behavior shows stable engagement.
85,35,5,636.68,7.5,2,3,0.02%,0.0%,0.3%,0,Low,No Action Required,Customer behavior shows stable engagement.
86,64,38,354.93,7.8,1,2,99.97%,99.64%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
87,41,8,740.44,8.1,3,10,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
88,43,40,282.15,11.4,0,8,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
89,42,24,1033.24,8.6,2,3,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
90,62,31,32.4,11.6,3,9,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
91,58,21,293.88,5.7,4,5,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
92,46,14,352.9,6.8,3,10,0.01%,0.0%,0.24%,0,Low,No Action Required,Customer behavior shows stable engagement.
93,32,7,418.82,6.7,4,1,0.03%,0.0%,0.38%,0,Low,No Action Required,Customer behavior shows stable engagement.
94,62,3,698.27,7.8,0,1,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
95,18,26,386.46,3.9,7,8,99.85%,99.08%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
96,42,28,243.84,13.8,1,10,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
97,24,44,123.41,8.3,5,8,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
98,26,19,417.28,4.6,1,9,99.92%,99.35%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
99,41,13,511.0,4.7,1,5,0.08%,0.0%,0.65%,0,Low,No Action Required,Customer behavior shows stable engagement.
100,18,1,402.31,8.2,7,9,0.02%,0.0%,0.3%,0,Low,No Action Required,Customer behavior shows stable engagement.
101,61,39,652.04,9.8,2,10,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
102,25,38,480.92,10.8,7,7,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
103,41,9,954.62,8.1,1,10,0.01%,0.0%,0.23%,0,Low,No Action Required,Customer behavior shows stable engagement.
104,28,21,543.41,9.8,0,5,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
105,34,1,531.25,9.0,0,4,0.02%,0.0%,0.31%,0,Low,No Action Required,Customer behavior shows stable engagement.
106,25,8,433.32,7.7,6,5,0.02%,0.0%,0.33%,0,Low,No Action Required,Customer behavior shows stable engagement.
107,52,22,408.16,7.0,7,6,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
108,52,26,677.85,8.1,0,3,99.97%,99.66%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
109,50,28,292.19,7.7,2,5,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
110,22,17,1048.31,8.0,3,5,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
111,59,21,444.97,9.3,7,7,0.02%,0.0%,0.32%,0,Low,No Action Required,Customer behavior shows stable engagement.
112,56,28,1360.51,12.9,6,3,99.96%,99.6%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
113,58,18,850.16,5.0,4,4,99.97%,99.64%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
114,45,33,416.97,8.3,6,8,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
115,24,29,231.57,9.1,1,7,0.01%,0.0%,0.23%,0,Low,No Action Required,Customer behavior shows stable engagement.
116,26,31,311.51,6.9,6,10,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
117,25,12,319.18,11.2,0,10,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
118,29,46,682.91,6.5,5,2,99.95%,99.5%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
119,51,19,1154.28,10.0,7,3,99.97%,99.65%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
120,50,33,399.14,11.8,6,6,0.03%,0.0%,0.34%,0,Low,No Action Required,Customer behavior shows stable engagement.
121,65,30,624.56,9.2,4,5,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
122,40,6,705.59,7.5,2,5,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
123,41,20,352.54,9.4,6,9,0.02%,0.0%,0.31%,0,Low,No Action Required,Customer behavior shows stable engagement.
124,54,33,450.26,6.8,8,8,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
125,52,29,515.3,5.9,9,10,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
126,61,35,867.92,9.1,6,4,99.84%,99.07%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
127,57,26,594.09,10.2,0,6,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
128,39,23,359.93,8.3,9,6,0.03%,0.0%,0.38%,0,Low,No Action Required,Customer behavior shows stable engagement.
129,44,37,257.37,9.7,6,10,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
130,52,27,497.51,14.9,9,2,0.03%,0.0%,0.35%,0,Low,No Action Required,Customer behavior shows stable engagement.
131,18,23,250.13,11.7,1,1,0.03%,0.0%,0.34%,0,Low,No Action Required,Customer behavior shows stable engagement.
132,52,38,831.07,6.3,6,1,99.97%,99.66%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
133,54,30,848.74,8.6,4,5,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
134,64,43,533.61,8.9,5,4,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
135,31,42,593.33,5.5,5,1,0.24%,0.0%,1.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
136,20,18,668.04,9.8,9,3,99.98%,99.67%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
137,18,30,222.8,5.7,2,10,0.01%,0.0%,0.23%,0,Low,No Action Required,Customer behavior shows stable engagement.
138,22,19,721.07,10.0,8,8,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
139,43,45,245.57,13.8,2,4,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
140,31,42,257.83,7.6,1,5,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
141,56,43,492.47,9.3,1,5,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
142,44,1,269.98,8.9,6,2,99.97%,99.65%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
143,26,45,919.76,5.2,6,3,99.96%,99.6%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
144,32,4,362.39,5.8,1,2,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
145,32,17,772.78,9.1,3,1,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
146,43,37,643.02,8.4,4,8,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
147,59,6,507.74,7.6,1,6,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
