Customer_ID,Age,Income_Level,Number_of_Subscriptions,Avg_Usage_Hours_Per_Week,App_Switch_Frequency,Discount_Used,Customer_Support_Interactions,Payment_Mode,Tenure_Months,Device_Type,Satisfaction_Score,Monthly_Total_Spend,Will_Cancel_Next_3_Months
60,53,Medium,4,7.3,8,0,1,UPI,45,Web,2,568.36,0
61,57,Medium,10,9.3,12,0,0,UPI,17,Android,6,999.5,0
62,21,High,10,3.3,0,0,0,Wallet,27,iOS,6,1308.94,0
63,19,Low,8,11.4,10,0,3,Wallet,44,Android,5,384.69,0
64,23,Low,12,7.9,3,0,3,UPI,10,Android,7,516.59,0
65,59,High,11,5.1,7,0,1,UPI,20,Android,2,1284.85,0
66,21,Low,1,9.3,8,1,1,UPI,47,Web,6,19.58,0
67,46,High,2,8.5,8,1,3,Wallet,21,iOS,8,270.8,0
68,35,Low,8,4.6,9,0,7,Credit Card,15,Android,6,453.23,1
69,43,Medium,2,7.6,10,1,5,Debit Card,11,Android,4,261.93,0
70,61,Medium,11,6.4,0,1,0,Debit Card,10,Android,6,888.91,0
71,51,High,12,4.2,0,0,7,Wallet,14,Web,5,1391.59,1
72,27,Medium,10,6.7,6,0,4,Credit Card,45,iOS,2,892.11,0
73,53,Low,9,4.9,10,0,9,Credit Card,9,Web,1,594.83,1
74,31,Medium,3,4.3,12,0,5,Credit Card,45,Android,9,370.65,0
75,48,Low,3,9.5,11,0,6,Debit Card,46,Android,2,183.47,1
76,65,Medium,6,8.9,5,0,9,Credit Card,30,Android,8,621.17,0
77,32,High,3,7.2,13,1,5,UPI,15,Android,3,657.58,0
78,25,Medium,9,1.3,6,0,2,Debit Card,17,Android,4,669.49,1
79,31,Medium,11,7.8,7,1,9,Credit Card,32,iOS,4,813.31,1
80,40,Low,8,10.3,10,0,1,UPI,33,iOS,6,349.91,0
81,57,Medium,4,11.6,5,0,1,Debit Card,16,Android,1,353.71,0
82,38,Medium,6,11.1,9,0,2,UPI,19,Android,5,383.79,0
83,33,Medium,8,4.4,13,0,5,Credit Card,2,Android,5,689.91,1
84,62,Low,4,5.7,9,1,0,Wallet,4,Android,1,445.9,0
85,35,Medium,5,7.5,11,1,2,Credit Card,5,Android,3,636.68,0
86,64,Low,7,7.8,9,0,1,UPI,38,Web,2,354.93,1
87,41,Medium,8,8.1,6,0,3,Wallet,8,Android,10,740.44,0
88,43,Low,7,11.4,10,1,0,Credit Card,40,Android,8,282.15,0
89,42,High,8,8.6,6,0,2,UPI,24,Android,3,1033.24,0
90,62,Low,4,11.6,6,0,3,Credit Card,31,iOS,9,32.4,0
91,58,Medium,1,5.7,12,1,4,Debit Card,21,Android,5,293.88,0
92,46,Low,6,6.8,13,1,3,Credit Card,14,Android,10,352.9,0
93,32,Medium,5,6.7,1,0,4,Debit Card,7,Android,1,418.82,0
94,62,Low,11,7.8,2,1,0,Wallet,3,Android,1,698.27,0
95,18,Medium,4,3.9,9,1,7,Wallet,26,Web,8,386.46,1
96,42,Low,2,13.8,8,0,1,Wallet,28,Android,10,243.84,0
97,24,Medium,1,8.3,0,1,5,Debit Card,44,Android,8,123.41,0
98,26,Low,9,4.6,12,0,1,UPI,19,iOS,9,417.28,1
99,41,Low,12,4.7,7,1,1,Credit Card,13,Android,5,511.0,0
100,18,Medium,2,8.2,6,1,7,UPI,1,Android,9,402.31,0
101,61,Low,9,9.8,5,0,2,Wallet,39,Android,10,652.04,0
102,25,Low,6,10.8,0,0,7,Wallet,38,Web,7,480.92,0
103,41,High,6,8.1,8,0,1,Wallet,9,Android,10,954.62,0
104,28,High,2,9.8,1,1,0,Credit Card,21,Android,5,543.41,0
105,34,Medium,6,9.0,9,0,0,Debit Card,1,Android,4,531.25,0
106,25,Low,3,7.7,11,1,6,Wallet,8,Android,5,433.32,0
107,52,Low,7,7.0,4,0,7,Credit Card,22,Web,6,408.16,0
108,52,Medium,10,8.1,8,0,0,UPI,26,iOS,3,677.85,1
109,50,Low,4,7.7,11,1,2,UPI,28,Android,5,292.19,0
110,22,High,9,8.0,7,0,3,Debit Card,17,Android,5,1048.31,0
111,59,Low,5,9.3,9,0,7,Wallet,21,iOS,7,444.97,0
112,56,High,12,12.9,14,1,6,Wallet,28,iOS,3,1360.51,1
113,58,Medium,10,5.0,13,0,4,Wallet,18,Android,4,850.16,1
114,45,Medium,3,8.3,3,1,6,Debit Card,33,Android,8,416.97,0
115,24,Low,1,9.1,14,1,1,Wallet,29,Android,7,231.57,0
116,26,High,1,6.9,7,0,6,UPI,31,iOS,10,311.51,0
117,25,Low,4,11.2,8,0,0,Debit Card,12,iOS,10,319.18,0
118,29,Medium,10,6.5,11,0,5,Debit Card,46,Android,2,682.91,1
119,51,High,10,10.0,14,0,7,Wallet,19,Android,3,1154.28,1
120,50,Low,4,11.8,10,0,6,UPI,33,Web,6,399.14,0
121,65,Medium,9,9.2,4,0,4,UPI,30,Android,5,624.56,0
122,40,Medium,8,7.5,0,0,2,UPI,6,Android,5,705.59,0
123,41,Low,4,9.4,10,0,6,Wallet,20,Android,9,352.54,0
124,54,Medium,6,6.8,5,1,8,UPI,33,Android,8,450.26,0
125,52,Low,7,5.9,3,1,9,UPI,29,Web,10,515.3,0
126,61,Medium,10,9.1,5,0,6,Wallet,35,iOS,4,867.92,1
127,57,Medium,8,10.2,0,1,0,Debit Card,26,iOS,6,594.09,0
128,39,Medium,4,8.3,3,0,9,Wallet,23,Android,6,359.93,0
129,44,Low,1,9.7,4,0,6,Wallet,37,Android,10,257.37,0
130,52,High,5,14.9,5,0,9,Credit Card,27,iOS,2,497.51,0
131,18,High,1,11.7,13,0,1,Credit Card,23,Android,1,250.13,0
132,52,Medium,11,6.3,4,0,6,Credit Card,38,iOS,1,831.07,1
133,54,Medium,11,8.6,1,1,4,Debit Card,30,iOS,5,848.74,0
134,64,Medium,4,8.9,2,0,5,UPI,43,iOS,4,533.61,0
135,31,Medium,7,5.5,4,1,5,Wallet,42,Web,1,593.33,0
136,20,Medium,7,9.8,10,1,9,Wallet,18,Android,3,668.04,1
137,18,Low,1,5.7,14,1,2,Debit Card,30,iOS,10,222.8,0
138,22,Medium,9,10.0,6,1,8,Wallet,19,Web,8,721.07,0
139,43,Low,2,13.8,3,0,2,UPI,45,Android,4,245.57,0
140,31,Low,5,7.6,10,1,1,Debit Card,42,Android,5,257.83,0
141,56,Medium,6,9.3,5,1,1,Debit Card,43,Android,5,492.47,0
142,44,Medium,1,8.9,8,1,6,Debit Card,1,Android,2,269.98,1
143,26,Medium,12,5.2,9,1,6,Credit Card,45,iOS,3,919.76,1
144,32,Medium,2,5.8,6,0,1,Debit Card,4,Android,2,362.39,0
145,32,High,7,9.1,2,0,3,Debit Card,17,iOS,1,772.78,0
146,43,Medium,6,8.4,14,1,4,Debit Card,37,iOS,8,643.02,0
147,59,Medium,6,7.6,10,1,1,Debit Card,6,Android,6,507.74,0
148,30,Low,6,10.8,4,1,7,Debit Card,40,iOS,10,626.93,0
149,49,Low,7,9.4,8,1,5,Debit Card,44,iOS,2,371.75,1
150,56,Low,10,14.6,4,0,4,UPI,41,iOS,9,547.99,0
151,49,Medium,12,5.2,2,1,7,Debit Card,31,iOS,8,887.25,0
152,21,Medium,12,6.8,7,0,5,UPI,38,Android,7,771.83,0
153,47,Low,9,12.4,6,1,8,UPI,22,Android,7,326.83,0
154,54,Medium,9,13.1,11,0,6,Debit Card,21,Android,10,661.59,1
155,40,Low,2,5.4,4,1,7,Wallet,22,Android,2,167.38,0
156,56,Low,2,6.8,4,1,9,Wallet,45,Android,6,194.07,0
157,62,High,5,7.5,0,0,6,Wallet,35,Android,10,710.05,0
158,32,Medium,10,12.2,7,0,6,Wallet,29,Android,4,762.98,1
159,60,Low,7,7.6,5,0,7,Debit Card,24,Android,4,376.32,1
160,46,Medium,12,7.5,14,0,5,Credit Card,17,iOS,8,1017.71,0
161,53,Medium,12,7.2,4,0,9,Wallet,36,Android,8,1082.61,0
162,30,Medium,3,8.3,12,0,3,Wallet,45,Android,7,514.9,0
163,49,Low,3,9.0,6,0,8,Credit Card,23,iOS,10,260.78,0
164,24,Medium,4,13.6,1,0,7,UPI,10,Android,2,400.13,0
165,39,Low,3,12.4,2,0,3,Credit Card,29,Android,6,262.62,0
166,45,High,3,4.8,8,1,2,Credit Card,37,Android,9,479.48,0
167,19,Medium,8,7.4,4,0,8,Wallet,27,Android,9,631.36,0
168,59,Medium,7,8.1,5,0,4,Credit Card,20,Web,7,823.34,0
169,62,Low,7,6.7,7,0,7,Credit Card,12,Android,2,505.97,1
170,23,Low,10,11.0,13,0,8,Credit Card,38,iOS,8,466.72,1
171,45,Low,2,12.0,2,1,5,Wallet,6,Web,8,258.56,0
172,45,High,11,6.6,0,0,8,Credit Card,26,iOS,9,1366.28,0
173,61,Low,9,8.0,13,1,9,Debit Card,24,Android,9,375.49,1
174,61,Low,6,10.7,12,1,2,Wallet,46,iOS,3,485.81,0
175,37,High,3,11.2,3,0,5,Wallet,2,Android,6,493.34,0
176,47,Medium,9,6.5,13,0,9,Credit Card,4,iOS,3,708.12,1
177,28,Medium,9,9.4,1,1,8,Wallet,30,iOS,2,495.45,1
178,45,Low,6,5.9,8,1,1,UPI,2,Android,1,338.32,0
179,42,Medium,10,11.2,3,0,2,Credit Card,32,Android,4,869.75,0
180,56,Medium,6,5.8,8,0,6,Wallet,6,Android,2,516.33,1
181,50,Medium,8,8.3,6,1,4,Credit Card,1,Android,5,827.45,0
182,18,Low,8,6.6,14,1,8,Credit Card,42,Android,6,444.5,1
183,44,Medium,6,5.1,6,0,0,Credit Card,23,iOS,8,433.74,0
184,30,Medium,7,6.3,0,1,7,UPI,29,Android,10,515.39,0
185,58,Medium,4,7.0,1,1,5,Wallet,8,Android,6,352.16,0
186,20,Medium,1,11.7,6,0,1,Debit Card,43,Android,9,384.66,0
187,56,Low,4,6.6,11,1,5,UPI,24,iOS,4,360.77,0
188,23,Low,8,8.2,4,0,0,UPI,13,iOS,4,679.69,0
189,25,Medium,12,6.0,6,1,6,Debit Card,12,Web,4,878.42,1
190,44,Medium,8,10.8,14,0,8,UPI,5,Android,10,692.2,1
191,26,High,2,11.2,2,0,2,UPI,19,iOS,7,268.6,0
192,54,Medium,7,10.4,7,1,3,Credit Card,18,Android,10,713.74,0
193,50,Medium,1,6.9,3,0,5,Debit Card,15,Android,10,413.93,0
194,59,High,2,6.0,7,0,4,Debit Card,12,iOS,4,219.43,0
195,61,Low,8,5.2,5,0,1,Wallet,46,Android,4,345.11,0
196,41,Medium,11,10.3,8,1,7,UPI,11,Android,4,797.27,1
197,32,Low,10,6.6,5,1,9,Wallet,5,Android,7,546.45,0
198,49,Low,4,10.6,3,1,9,Debit Card,19,Android,10,254.65,0
199,49,Medium,3,5.4,2,0,9,Debit Card,2,iOS,10,160.8,0
200,41,Medium,2,7.4,14,0,7,Debit Card,36,Android,7,386.01,0
201,58,Medium,11,6.6,13,0,1,Debit Card,9,iOS,8,818.68,0
202,29,Medium,6,5.9,3,0,1,Debit Card,8,Android,7,557.98,0
203,56,Medium,4,2.8,10,1,9,Credit Card,31,iOS,6,541.17,1
204,19,Low,3,4.0,6,0,6,UPI,47,iOS,2,450.98,1
205,20,Medium,3,11.4,7,0,2,Debit Card,30,Web,9,419.42,0
206,54,Medium,10,5.5,1,0,8,Wallet,14,Android,8,794.07,0
207,34,High,3,10.0,8,1,5,UPI,23,Android,6,530.54,0
208,19,Low,12,8.0,6,1,2,Debit Card,7,iOS,8,438.07,0
209,19,Low,8,7.0,6,1,5,Debit Card,21,Android,5,344.81,0
210,45,Medium,9,6.7,12,1,7,Debit Card,8,Android,4,754.23,1
211,40,High,9,7.8,11,0,6,Credit Card,4,iOS,4,1037.01,1
212,54,Medium,5,10.0,9,1,6,Debit Card,8,Android,1,496.38,1
213,49,Medium,1,4.3,13,0,4,Credit Card,41,iOS,7,228.94,0
214,50,High,10,7.8,14,0,9,Credit Card,11,Android,10,1195.16,1
215,18,High,5,9.2,3,1,3,Credit Card,24,iOS,7,686.88,0
216,36,Medium,1,10.2,6,0,7,Debit Card,9,Android,5,142.5,0
217,19,Medium,9,11.0,1,1,8,UPI,17,iOS,10,744.24,0
218,61,Low,10,7.4,10,1,1,Wallet,18,Android,5,668.09,0
219,43,High,8,3.8,9,1,4,Wallet,21,Android,3,771.25,1
220,49,Medium,7,9.2,13,0,6,UPI,31,Android,5,678.66,1
221,23,High,2,7.6,13,0,4,Credit Card,9,Android,6,519.43,0
222,49,Low,2,11.6,2,1,7,Wallet,45,Android,1,298.88,0
223,21,Medium,4,8.6,1,1,7,Wallet,34,Android,4,392.22,0
224,28,Medium,9,11.6,11,0,4,Wallet,17,Android,9,771.21,0
225,34,Medium,9,6.4,4,1,7,Credit Card,21,Android,10,739.41,0
226,55,Low,8,11.6,0,0,1,UPI,23,Android,2,322.25,0
227,41,Medium,11,8.5,13,0,4,Wallet,44,Android,7,779.95,0
228,22,Medium,5,9.3,12,0,4,UPI,36,Android,8,537.75,0
229,51,Medium,7,2.8,1,1,8,Credit Card,34,iOS,4,765.95,1
230,23,Low,12,11.3,14,0,9,Debit Card,10,Android,7,380.62,1
231,39,Medium,9,7.4,14,0,1,Wallet,30,Android,5,803.48,0
232,28,Low,3,9.5,10,1,2,Wallet,36,Android,1,194.43,0
233,65,Low,4,7.0,5,0,9,UPI,32,Android,10,195.5,0
234,33,Medium,2,11.5,5,1,8,Credit Card,27,iOS,5,232.15,0
235,50,High,9,8.7,11,0,5,UPI,1,Android,10,1121.38,0
236,26,Medium,7,8.4,7,1,5,Debit Card,17,Android,8,569.99,0
237,23,Medium,6,13.7,8,1,9,Debit Card,44,Android,4,523.49,1
238,33,Low,5,0.5,8,1,3,UPI,9,Android,3,322.89,1
239,46,Medium,12,6.8,6,0,2,UPI,18,Web,8,1027.8,0
240,20,Low,7,7.5,11,1,7,Debit Card,22,iOS,2,317.69,1
241,37,High,3,5.5,9,1,0,Debit Card,30,Web,2,636.3,0
242,53,High,5,9.0,0,0,8,Credit Card,11,Android,6,883.83,0
243,36,Medium,2,4.0,3,1,0,UPI,42,Android,5,310.88,0
244,43,Medium,5,4.1,6,0,1,UPI,42,Android,3,510.04,0
245,20,Medium,7,9.3,1,1,3,Credit Card,39,Android,3,763.97,0
246,36,Medium,11,5.3,11,1,4,UPI,15,Android,5,894.98,0
247,37,Low,10,9.5,8,0,3,Credit Card,36,iOS,10,571.76,0
248,49,Low,11,6.2,12,0,9,Debit Card,12,Web,9,650.01,1
249,24,Medium,7,5.5,0,0,9,Wallet,47,Android,7,612.21,0
250,58,High,9,5.0,8,0,7,Wallet,26,iOS,6,1150.67,1
251,50,Low,3,5.1,14,1,8,Debit Card,6,Android,4,207.66,1
252,57,Low,8,6.7,6,1,4,Debit Card,35,iOS,3,474.41,0
253,56,Medium,5,5.6,12,0,1,Wallet,45,iOS,10,416.01,0
254,35,High,7,7.6,9,0,0,Credit Card,2,iOS,7,868.27,0
255,57,Low,1,2.4,5,1,8,Credit Card,23,iOS,8,328.54,0
256,18,Low,1,5.5,13,0,4,Wallet,4,Android,4,247.48,0
257,28,Medium,4,11.7,11,0,2,Debit Card,38,Android,2,577.94,0
258,45,Medium,5,4.2,6,1,3,Credit Card,43,Android,7,400.02,0
259,42,Low,10,6.0,1,1,0,Credit Card,3,iOS,3,536.3,0
260,40,Low,3,11.7,9,1,7,Debit Card,42,Web,2,129.84,1
261,48,Medium,6,7.9,11,0,0,Debit Card,9,iOS,5,422.04,0
262,47,Medium,3,2.8,1,0,4,Wallet,19,Android,9,457.0,0
263,59,High,5,9.8,13,0,0,Credit Card,2,Android,3,655.68,0
264,52,Medium,11,11.6,2,1,7,Wallet,19,Web,1,887.29,1
265,24,Low,1,7.9,5,1,4,UPI,1,Android,1,347.5,0
266,33,Medium,3,6.3,0,0,4,Credit Card,7,iOS,7,431.29,0
267,43,Medium,7,2.8,10,1,6,Wallet,10,iOS,1,733.96,1
268,65,Low,3,6.5,3,1,5,Wallet,5,iOS,5,365.55,0
269,19,High,5,4.3,7,0,9,UPI,40,Web,7,839.39,0
270,18,High,7,8.0,7,1,8,UPI,7,Android,3,867.28,1
271,65,Low,2,10.5,13,0,7,Debit Card,38,Android,9,365.71,0
272,29,Low,3,5.0,4,1,7,Credit Card,10,iOS,2,201.68,0
273,22,Low,4,10.1,6,0,2,Wallet,24,Android,6,340.82,0
274,54,Low,5,2.7,4,1,2,Credit Card,6,iOS,7,292.64,0
275,49,Medium,12,7.3,3,0,4,UPI,44,Web,1,912.51,0
276,26,Medium,9,2.0,5,1,7,Credit Card,42,Web,2,819.86,1
277,58,High,9,8.5,13,1,2,Wallet,39,Android,5,1109.25,0
278,52,Low,4,11.4,7,1,2,Debit Card,7,Web,9,301.48,0
279,36,Medium,9,6.7,11,0,7,Credit Card,30,Android,3,709.55,1
280,65,High,4,8.5,9,0,3,Wallet,27,Android,9,685.17,0
281,33,Medium,2,6.5,0,0,0,Debit Card,33,Android,10,172.34,0
282,20,Low,10,9.1,2,0,4,Wallet,3,Android,7,388.62,0
283,37,Low,1,10.4,3,0,4,Credit Card,39,Web,7,198.1,0
284,41,Low,7,8.0,4,0,3,Debit Card,4,Web,8,345.18,0
285,50,High,4,6.4,0,0,5,UPI,37,Android,2,419.94,0
286,41,High,12,8.9,8,1,3,Credit Card,5,Android,1,1233.44,1
287,28,High,8,13.4,7,0,6,UPI,38,Android,2,1026.6,1
288,25,High,8,8.9,1,1,7,Wallet,31,Android,2,859.1,1
289,53,Medium,12,4.2,4,1,0,UPI,40,Android,4,697.17,1
290,55,High,8,13.7,8,0,7,Credit Card,45,Android,2,1076.37,1
291,57,High,6,5.6,12,0,3,Wallet,22,Android,5,683.16,0
292,37,Medium,9,5.6,2,0,8,Credit Card,41,Android,9,837.59,0
293,52,Low,4,11.0,4,0,1,UPI,8,Android,3,332.18,0
294,65,Medium,5,6.7,8,0,1,Debit Card,32,Android,10,524.14,0
295,42,Low,4,9.5,5,0,2,Credit Card,16,Android,2,421.72,0
296,52,Low,5,9.3,12,0,5,Debit Card,14,Android,4,334.08,0
297,42,High,2,9.3,4,1,3,Debit Card,45,iOS,8,444.44,0
298,46,High,5,12.3,7,1,4,Debit Card,36,Android,5,606.91,0
299,35,Low,10,7.2,13,0,7,Credit Card,6,Android,1,539.86,1
300,63,Medium,8,8.1,4,1,6,Credit Card,15,Android,2,507.22,1
301,35,High,9,5.2,8,0,7,UPI,11,iOS,7,1163.59,1
302,19,Medium,7,10.2,14,1,2,Credit Card,26,Android,7,452.57,0
303,52,Medium,7,8.6,10,0,1,Wallet,21,Android,1,808.96,1
304,33,Medium,6,11.8,12,1,5,Wallet,17,iOS,1,400.72,0
305,58,High,2,9.1,2,0,2,Credit Card,27,iOS,4,329.29,0
306,53,High,10,13.2,0,0,0,Credit Card,31,Android,5,1289.11,0
307,50,Medium,12,7.6,3,1,7,Wallet,14,Android,9,1045.82,0
308,21,Low,11,8.7,6,0,2,UPI,33,Android,6,624.23,0
309,50,High,10,8.2,12,1,5,Debit Card,2,Android,7,1277.56,0
310,31,Low,9,5.9,2,0,8,Credit Card,23,Web,2,516.05,1
311,38,Medium,5,2.1,12,1,6,Debit Card,38,Web,2,468.78,1
312,65,Low,6,8.7,9,0,3,Credit Card,37,Android,8,417.84,0
313,37,Medium,1,3.2,7,0,5,Credit Card,26,Android,5,226.47,0
314,25,Medium,5,9.4,1,1,9,Credit Card,2,Android,3,505.5,0
315,24,Low,6,11.5,8,0,8,Credit Card,36,Android,2,363.77,1
316,20,High,10,7.8,14,1,0,UPI,27,Android,3,1117.68,1
317,34,Low,11,9.1,13,1,1,UPI,13,Android,8,519.56,0
318,50,High,2,9.2,2,0,0,Debit Card,4,Android,2,368.73,0
319,65,High,7,10.9,10,0,4,Credit Card,24,Web,7,1011.43,0
320,29,Low,4,7.7,13,1,4,Credit Card,24,iOS,8,369.32,0
321,39,Medium,5,4.4,5,1,0,Credit Card,11,Android,10,437.18,0
322,39,Low,3,2.7,6,0,0,UPI,40,iOS,10,12.66,0
323,63,Medium,5,7.0,4,1,7,Debit Card,17,Android,7,496.68,0
324,47,Medium,12,3.1,9,1,7,Debit Card,39,Android,6,952.82,1
325,55,Low,4,8.1,12,0,0,Credit Card,23,iOS,8,229.97,0
326,55,Medium,12,8.8,4,0,9,Wallet,39,iOS,8,865.43,0
327,62,Medium,10,6.4,13,1,9,Credit Card,36,iOS,8,737.39,1
328,25,High,6,10.2,0,1,6,Credit Card,36,Android,8,958.65,0
329,44,Low,2,8.5,3,0,3,Credit Card,43,Android,8,357.35,0
330,44,Medium,3,6.0,0,0,0,Debit Card,5,Android,7,206.09,0
331,51,Low,12,6.6,8,0,3,Wallet,30,Android,3,619.78,1
332,38,High,10,12.0,8,0,7,Wallet,7,Android,4,1289.16,1
333,47,Low,1,2.9,14,0,1,Wallet,46,Android,6,243.59,0
334,50,Medium,7,7.3,4,0,8,Wallet,2,Android,10,756.36,0
335,45,Low,9,8.6,4,0,6,Wallet,40,Android,4,446.08,1
336,64,Medium,2,6.2,12,0,4,Credit Card,30,Android,5,323.72,0
337,50,High,7,5.8,4,0,7,Wallet,42,Android,9,1034.31,0
338,22,Medium,3,11.3,14,1,6,Wallet,29,Web,2,349.25,1
339,65,Medium,5,14.1,6,1,8,UPI,46,iOS,4,650.6,0
340,36,Medium,6,7.0,14,0,9,Credit Card,15,Android,3,654.92,1
341,21,High,8,8.1,5,0,5,Credit Card,11,iOS,6,1042.81,0
342,52,Medium,4,9.7,1,1,8,Wallet,7,Android,1,466.84,0
343,34,High,2,4.9,10,1,0,Wallet,19,Android,9,465.68,0
344,61,Medium,3,8.2,9,1,2,Debit Card,30,iOS,7,215.28,0
345,45,Medium,8,12.6,2,1,0,Wallet,38,Android,4,643.67,0
346,47,Low,7,15.2,4,0,3,Credit Card,7,iOS,9,540.96,0
347,46,Medium,6,4.3,6,1,6,Wallet,36,Android,9,458.56,0
348,63,Low,5,5.3,14,1,0,Debit Card,14,Android,6,178.96,0
349,23,High,11,6.7,1,0,2,UPI,24,Android,4,1163.92,0
350,52,Medium,5,6.9,10,1,3,Credit Card,5,Web,6,642.56,0
351,58,High,1,11.3,3,0,2,Wallet,11,Android,8,303.85,0
352,54,Low,6,8.1,0,0,8,UPI,39,iOS,7,227.78,0
353,41,Low,9,11.0,6,0,5,UPI,27,Android,2,543.3,0
354,46,High,8,8.7,14,0,9,UPI,26,Web,2,1062.24,1
355,63,Medium,12,7.7,14,1,5,Debit Card,16,iOS,2,885.88,1
356,48,Medium,10,9.3,10,1,8,Credit Card,9,Android,7,835.38,1
357,52,High,1,1.2,13,0,7,Debit Card,8,Web,5,354.91,1
358,50,Medium,11,7.0,1,1,5,Credit Card,31,Android,6,809.45,0
359,38,Low,6,7.1,7,0,7,Wallet,14,iOS,9,515.97,0
360,49,High,3,3.8,9,1,8,Wallet,8,Web,6,461.33,1
361,40,Low,6,12.0,11,1,3,Debit Card,38,Android,9,228.33,0
362,50,High,9,7.3,10,0,4,Wallet,43,iOS,9,1031.91,0
